Code tiers bénéficiaire;Nom bénéficiaire;Montant versé;Type subvention
24067;SOLISOL SOLEIL DE LA SOLITUDE ASSOC;1000.0;Fonctionnement
6836;CLAIRE MAISON OLYMPE DE GOUGES;1200.0;Fonctionnement
20593;POINT SCENE ASSOC;40000.0;Fonctionnement
443;AEGEE TOULOUSE ASSOC;300.0;Fonctionnement
6784;CISS MIDI PYRENEES ASSOC;500.0;Fonctionnement
69203;LES ATELIERS DU MONDE ASSOC;2100.0;Fonctionnement
1416;CLUB ANIMATION 3EME AGE ST SIMON;610.0;Fonctionnement
3728;BEST TOULOUSE ASSOC;800.0;Fonctionnement
54621;A CHACUN SES LOISIRS ASSOC;2000.0;Fonctionnement
24770;TOULOUSE ATHLETIC CLUB NATATION CZ MORVAN LAURENCE ASSOC;6000.0;Fonctionnement
24936;TA ASSOC;1000.0;Investissement
4981;AMICALE LAIQUE BUFFON ASSOC;240774.51;Fonctionnement
54705;LES VAGABONDS FRANCIS AZEMA ASSOC;7000.0;Fonctionnement
15146;CRECHE LALANDOUNETTE HALTE GARDERIE;52301.36;Fonctionnement
9558;DYNAMIQUES FEMMES;2000.0;Fonctionnement
11649;FUTSAL BELLEFONTAINE ASSOC;3000.0;Fonctionnement
20580;CAVE POESIE DE TOULOUSE ASSOC;92500.0;Fonctionnement
678;ESPACE AIKIDO ASSOC;5500.0;Fonctionnement
5363;CANOE KAYAK TOULOUSAIN ASSOC;8000.0;Fonctionnement
9862;ELEMEN TERRE ASSOC;10200.0;Fonctionnement
11822;GARAGE POUR TOUS ASSOC;27000.0;Fonctionnement
11872;LA GARGOUILLE ASSOC;15000.0;Fonctionnement
1286;LES ANACHRONIQUES ASSOC;14000.0;Fonctionnement
25923;UNION TIR CLUB ASSOC;500.0;Fonctionnement
7482;CORRIDA PEDESTRE DE TOULOUSE ASSOC;10000.0;Fonctionnement
15325;ANIMATION SOCIALE ET SOLIDAIRE DES QUARTIERS OUEST TOULOUSE ASSOC;342339.48;Fonctionnement
14446;UNION SPORTIVE TLSE JULES JULIEN XIII ASSOC;8000.0;Fonctionnement
11515;SPORT GLACE FRATERNITE ASSOC;3000.0;Fonctionnement
24403;STADE TOULOUSAIN ATHLETISME ASSOC;6500.0;Fonctionnement
66771;CLUB ACTIVITE SOCIALE ET CULTURE 3IEME AGE PAPUS;700.0;Fonctionnement
15719;ACADEMIE DE LEGISLATION ASSOC;3000.0;Fonctionnement
40916;ACADEMIE AIR ET ESPACE ASSOC;85000.0;Fonctionnement
11160;FNACA  ANCIENS  COMBATTANTS ALGERIE MAROC TUNISIE;2380.0;Fonctionnement
17601;MERCI ASSOC;70000.0;Fonctionnement
45795;LOISIRS ET SOLIDARITE DES RETRAITES DE LA HAUTE GARONNE ASSOC;1000.0;Fonctionnement
13354;SOCIETE HISTOIRE NATURELLE DE TOULOUSE UPS ASSOC;2000.0;Fonctionnement
704;AIR AVENTURES ASSOC;5000.0;Fonctionnement
46930;LES BRUISSONNANTES ASSOC;2000.0;Fonctionnement
1443;NAT POUR INTEGRATION HANDICAPES MOTEURS ASSOC;350.0;Fonctionnement
20927;NATIONAL DE PREVENTION EN ALCOOLOGIE ET ADDICTOLOGIE ASSOC;49000.0;Fonctionnement
295;ACT UP SUD OUEST ASSOC;11000.0;Fonctionnement
25395;TOULOUSE OLYMPIQUE AEROSPATIALE CLUB ATHLETISME ASSOC;19000.0;Fonctionnement
39725;RFTM RECETTE DES FINANCES TOULOUSE MUNICIPALE;8869286.0;Investissement
449;AERA ACTIONS ETUDES RECHERCHES AUTOUR DE L ARCHITECTURE ASSOC;27500.0;Fonctionnement
55734;CITYA IMMOBILIER TOULOUSE SARL;2000.0;Investissement
20534;PLAN 9 ASSOC;1500.0;Investissement
16200;LOHENGRIN ASSOC;2150.0;Investissement
1588;APSAR ANIMATION PREVENTION SOCIAL AMOUROUX ASSOC;318607.9;Fonctionnement
25905;UNAT MIDI PYRENEES ASSOC;28200.0;Fonctionnement
14628;KENIAN PROD ASSOCIATION;2500.0;Fonctionnement
9646;ECOLE ET NOUS;19000.0;Fonctionnement
3833;BOULES IZARDS CLUB ASSOC;1000.0;Fonctionnement
25408;LA TOILE BLANCHE ASSOC;24500.0;Fonctionnement
61308;DES THEATRES PRES DE CHEZ VOUS;8500.0;Fonctionnement
16110;LIRE ET FAIRE LIRE 31 ASSOC;15550.0;Fonctionnement
18198;ORCHESTRE BAROQUE DE MONTAUBAN ASSOC;5000.0;Fonctionnement
19288;HABITAT TOULOUSE OFFICE PUBLIC DE L HABITAT;2213261.87;Investissement
42776;TERRES NOMADES ASSSOC;14400.0;Fonctionnement
47156;AMICALE 3IEME AGE COTE PAVEE ASSOC;650.0;Fonctionnement
47879;CLUB 3IEME AGE JULES JULIEN RANGUEIL;700.0;Fonctionnement
8130;CLUB DAMIER TOULOUSAIN;1800.0;Fonctionnement
785;ALI ALAOUI ARTS ET DEVELOPPEMENT ASSOC;2000.0;Fonctionnement
63317;LES ARTS EN BALADE A TOULOUSE ASSOC;4000.0;Fonctionnement
19;AAT ADDICTIONS ACCUEIL THERAPEUTIQUE ASSOC;7000.0;Fonctionnement
10660;SPORTIVE DE LA FAOURETTE ASSOC;28000.0;Fonctionnement
3953;OUI BIZARRE ASSOC;14460.0;Fonctionnement
51026;LES BOBINES SAUVAGES ASSOC;2400.0;Fonctionnement
6122;CENTRE TECHNIQUE REGIONAL CONSOMMATION ASSOC;5000.0;Fonctionnement
14836;AYME KUNC ASSOC;3000.0;Fonctionnement
20712;THEATRE  PONT NEUF ASSOC;33000.0;Fonctionnement
3954;BIZ ART POPULAIRE ASSOC;25000.0;Fonctionnement
26563;VIVRE ENSEMBLE ASSOC;386660.93;Fonctionnement
16200;LOHENGRIN ASSOC;33000.0;Fonctionnement
24762;TABULA RASA ASSOC;25000.0;Fonctionnement
5328;CONFRERIE DU CANARD SAUVAGE THEATRE L ACTE;122000.0;Fonctionnement
1537;ASS POUR LA PROMOTION CULTURE ET ARTS;42390.0;Fonctionnement
19342;TOULOUSE LES ORGUES ASSOC;384000.0;Fonctionnement
12614;PRINTEMPS DU RIRE ASSOC;64000.0;Fonctionnement
19697;JUVENTUS DE PAPUS ASSOC;15000.0;Fonctionnement
10404;EUROCHORUS ASSOC;3000.0;Fonctionnement
845;ALCHIMIE DU JEU ASSOC;18000.0;Fonctionnement
46210;CLUB SAINT MICHEL;800.0;Fonctionnement
61555;P2BYM ASSOC;1500.0;Fonctionnement
7976;C15D ASSOC;5000.0;Fonctionnement
65219;XPEDIT ASSOC;2000.0;Fonctionnement
19092;RADIO OCCITANIA ASSOC;4000.0;Fonctionnement
17998;MIXARTS MYRYS ASSOC;45000.0;Fonctionnement
54470;COMITE DES FETES DE TOULOUSE SAINT SIMON;1400.0;Fonctionnement
68735;EN ATTENDANT LES ELEPHANTS;1200.0;Fonctionnement
65842;ETUDIANTS M2 ADMINISTRATION ET ACTIVITES CULTURELLES;1000.0;Fonctionnement
19477;LES OURS TOULOUSE FOOTBALL AMERICAIN ASSOC;20000.0;Fonctionnement
10235;CENTRE CULTUREL ESPERANTO ASSOC;550.0;Fonctionnement
2292;ATOLL LOISIRS FRANCE ASSOC;211613.26;Fonctionnement
4702;TOULOUSE B BOYING CLUB ASSOC;4500.0;Fonctionnement
26597;VOIR ET COMPRENDRE ASSOC;299871.0;Fonctionnement
24773;TACTIKOLLECTIF ASSOC;66000.0;Fonctionnement
19926;CRECHE PAUSE CALIN PROJET PETIT A PETIT ASSOC;199752.0;Fonctionnement
8850;DETOURS DE CHANT ASSOC;15000.0;Fonctionnement
