Section liquidation;Code tiers bénéficiaire;Nom bénéficiaire;Montant versé 2015
Fonctionnement;60722;DES IMAGES AUX MOTS;3600.0
Fonctionnement;22298;THEATRE GRAND ROND ASSOC;130500.0
Fonctionnement;10841;LES AMIS DU PETIT FERDINAND ASSOC;168067.0
Fonctionnement;49648;LO CONGRES PERMANENT DE LA LENGA OCCITANA ASSOC;5400.0
Fonctionnement;7746;CREPI CLUB REGIONAL ENTREPRISES POUR INSERTION ASSOC;90500.0
Fonctionnement;23268;INFOS SECTES ASSOC;1500.0
Fonctionnement;50186;UNION DES ASSOC DU QUARTIER CHALETS CONCORDE ROQUELAINE ASSOC;1800.0
Fonctionnement;25395;TOULOUSE OLYMPIQUE AEROSPATIALE CLUB ATHLETISME ASSOC;16150.0
Fonctionnement;24952;TCMS TOULOUSE CHEMINOTS MARENGO SPORT ASSOC;30530.0
Fonctionnement;10966;FFPE FEDERATION DES FEMMES POUR L EUROPE;22800.0
Fonctionnement;66771;CLUB ACTIVITE SOCIALE ET CULTURE 3IEME AGE PAPUS;700.0
Fonctionnement;45795;LOISIRS ET SOLIDARITE DES RETRAITES DE LA HAUTE GARONNE ASSOC;1000.0
Fonctionnement;45756;CLUB 3IEME AGE LES FEUILLES D AUTOMNE;600.0
Fonctionnement;5105;LE CABRI SYNDIC FAMILLE AMOUROUX ROSERAIE ASSOC;18000.0
Fonctionnement;74693;COMBATTANTS PRISONNIERS ALGERIE TUNISIE MAROC VEUVES TOE;150.0
Fonctionnement;785;ALI ALAOUI ARTS ET DEVELOPPEMENT ASSOC;2000.0
Fonctionnement;10014;TOUS EN JEU ASSOC;51900.0
Fonctionnement;3290;BEL AIR ASSOC;1500.0
Fonctionnement;13354;SOCIETE HISTOIRE NATURELLE DE TOULOUSE UPS ASSOC;2000.0
Fonctionnement;46984;AMICALE 31 DE L ISICA ASSOC;400.0
Fonctionnement;15920;LAS LETRAS OCCITANAS LETTRES D OC ASSOC;3600.0
Fonctionnement;6761;CIRCA AUCH GERS MIDI PYRENEES ASSOC;18000.0
Fonctionnement;11872;LA GARGOUILLE ASSOC;15200.0
Fonctionnement;64613;BAJO EL MAR ASSOC;6500.0
Fonctionnement;2154;SPORT QUILLES TOULOUSAIN ASSOC;870.0
Fonctionnement;21619;REFLET 31 ASSOC;13900.0
Fonctionnement;25514;LES TOULOUSAINS DE TOULOUSE ET AMIS DU VIEUX TOULOUSE ASSOC;25000.0
Fonctionnement;25905;UNAT MIDI PYRENEES ASSOC;28450.0
Fonctionnement;6639;CHORALE LES PARADOUX;750.0
Fonctionnement;13811;INDELEBILE ASSOC;3800.0
Fonctionnement;81474;SYNDICAT DES TERRITORIAUX SNIAT;301.6
Fonctionnement;3347;COLLEGE BELLEFONTAINE;7760.0
Fonctionnement;18887;NIDS D ANGES CRECHE LES PETITS DROLES ASSOC;81913.44
Fonctionnement;25613;TO7  TOULOUSE OUVERTURE 7 ASSOC;36000.0
Fonctionnement;15485;LAUZETA CHOEURS D ENFANTS DE TOULOUSE ASSOC;18000.0
Fonctionnement;72070;TOULOUSE OLYMPIQUE RUGBY XIII SA;304500.0
Fonctionnement;2524;LES AMIS E S D AVERROES ASSOC;3000.0
Fonctionnement;5213;CALL FORTH ASSOC;8500.0
Fonctionnement;18888;AMICALE DU NID ASSOC;24600.0
Fonctionnement;1685;ARC EN CIEL TOULOUSE ASSOC;10000.0
Fonctionnement;21595;RECRE A JEUX ASSOC;6147.0
Fonctionnement;10040;ENTENTE TUC BALMA;8700.0
Fonctionnement;24037;SOLEIL POUR TOUS ASSOC;2000.0
Fonctionnement;13832;DEPARTEMENTALE INFIRMES MOTEURS;1500.0
Fonctionnement;47902;TOULOUSE PIERRE PAUL RIQUET ASSOC;1750.0
Fonctionnement;16668;LA MAISON DU VELO ASSOC;6800.0
Fonctionnement;17794;MICRO SILLONS ASSOC;3910.0
Fonctionnement;7287;CONFED GENERALE DU LOGEMENT CGL 31;3600.0
Fonctionnement;12720;GRENIER THEATRE ASSOC;4500.0
Fonctionnement;31838;LA MAISON DE L INITIATIVE SCOP;27600.0
Fonctionnement;5814;CASAL CATALA DE TOULOUSE ASSOC;3500.0
Fonctionnement;14261;JERKOV MUSIQUE ASSOC;20500.0
Fonctionnement;61308;DES THEATRES PRES DE CHEZ VOUS;8000.0
Fonctionnement;6836;CLAIRE MAISON OLYMPE DE GOUGES;1200.0
Investissement;79812;TRANSPORTS BERGES SAS;3000.0
Fonctionnement;46092;1 KM A PIED;1000.0
Fonctionnement;21901;MUSEE POSTAL DES ANCIENS AMBULANTS ASSOC;2000.0
Fonctionnement;60459;L ADAPT ASSOC;1000.0
Fonctionnement;63617;SOSALTO ASSOC;2457.0
Investissement;17939;COMPAGNIE DERNIERE MINUTE;29346.0
Fonctionnement;9862;ELEMEN TERRE ASSOC;3000.0
Fonctionnement;48017;SOL ASSOC;500.0
Investissement;278;ACTIM CARCENAC SARL;35160.02
Fonctionnement;17601;MERCI ASSOC;64000.0
Fonctionnement;45798;EGEE ASSOC;4600.0
Fonctionnement;43060;UNION NATIONALE DES COMBATTANTS GROUPE DEPARTEMENTAL ASSOC;1545.0
Fonctionnement;1313;FOYER DES ANCIENS PROVIDENCE BONHOURE;1100.0
Fonctionnement;10662;PARTAGE FAOURETTE ASSOC;108700.0
Fonctionnement;26226;LES AMIS DU VERBE ASSOC;12500.0
Investissement;8090;CABINET DALAS;7211.15
Fonctionnement;2198;TOULOUSAINE RETRAITE SPORTIVE ASSOC;3000.0
Fonctionnement;30010;ASPTT TOULOUSE ASSOC;41000.0
Fonctionnement;1416;CLUB ANIMATION 3EME AGE ST SIMON;610.0
Investissement;25190;THEATRE NATIONAL TOULOUSE MIDI-PYRENEES SAS;132618.32
Fonctionnement;22087;CRECHE PARENTALE RIRES GRIMACES ASSOC;107091.0
Fonctionnement;24410;AMICALE LAIQUE ST AGNE ASSOC;118580.0
Fonctionnement;25099;GLET ECOLE LA TERRASSE MIXTE ASSOC;166040.5
Fonctionnement;2109;SOCIALE EDUCATIVE CULTURELLE ASSOC;10800.0
Fonctionnement;45796;PROMENADE INTER CLUB LES PROMENEURS ASSOC;1900.0
Fonctionnement;6134;CEPIERE ACCUEIL JEUNES ASSOC;145500.0
Fonctionnement;20866;JEUNESSE SPORTIVE DES PRADETTES ASSOC;18660.0
Fonctionnement;43044;AMICALE DES ANCIENS COMBATTANTS ET VICTIMES CIVILES DU MAQUIS ST LYS;160.0
Fonctionnement;26515;VIRE ET VOLTE ASSOC;1200.0
Fonctionnement;47558;DEPARTEMENTALE FRANCAS HAUTE-GARONNE ASSOC;111803.0
Fonctionnement;1552;GROUPE DES APHASIQUES TCHATCHEUR ASSOC;1500.0
Fonctionnement;54705;LES VAGABONDS FRANCIS AZEMA ASSOC;6300.0
Fonctionnement;23507;CLUB DU 3E AGE ST MARTIN DU TOUCH;1000.0
Fonctionnement;15143;LALA FARCETTE ASSOC;3600.0
Fonctionnement;21544;RACING CLUB MONTANE DE TOULOUSE ASSOC;5525.0
Fonctionnement;11188;FOLIES FORMATION LOCALE ET INTERNATIONALE A L ECO SOLIDAIRE ASSOC;85000.0
Fonctionnement;1430;AN NA COMPAGNIE ASSOC;1000.0
Fonctionnement;63356;CHORALES DE MIDI PYRENEES ASSOC;2000.0
Fonctionnement;25684;FAMILLES DE TRAUMATISES CRANIENS;1000.0
Fonctionnement;74958;MIRABILI ART ASSOC;1800.0
Fonctionnement;44689;LE FIL ASSOC;2000.0
Fonctionnement;24182;SOS FAMILLES EMMAUS ASSOC;2600.0
Fonctionnement;11400;SYNDICAT FGTA FO;2557.19
Fonctionnement;46931;ASSOSCIENCES MIDI-PYRENEES ASSOC;3400.0
Fonctionnement;23704;THEATRE LE VENT DES SIGNES ASSOC;52000.0
Fonctionnement;12636;GESTION DES ACTIVITES AU GRAND SELVE ASSOC;171405.01
Fonctionnement;67151;BABY NOVARS ASSOC;701712.0
Fonctionnement;47296;EUROPEENNE DU FILM D ANIMATION CARTOON ASSOC;25000.0
Fonctionnement;6759;CIRASTI MIDI PYRENEES ASSOC;9000.0
Fonctionnement;24401;STADE TOULOUSAIN SECTION TENNIS ASSOC;66381.0
Fonctionnement;18567;LES MUSICOPHAGES ASSOC;25000.0
Fonctionnement;6741;CINEMA ABC;42000.0
Fonctionnement;47892;EL ISLAH ASSOC;400.0
Fonctionnement;45784;CLUB DU TEMPS LIBRE QUARTIER NORD ASSOC;1200.0
Fonctionnement;8425;DEFENSE DE FER;3740.0
Fonctionnement;7800;COMITE QUARTIER CROIX DE PIERRE;1500.0
Fonctionnement;297;ACT FORMATION ASSOC;2000.0
Fonctionnement;41418;LA GRAINERIE ASSOC;42900.0
Fonctionnement;21778;RELAIS ENFANTS PARENTS MP ASSOC;9180.0
Fonctionnement;69203;LES ATELIERS DU MONDE ASSOC;10650.0
Fonctionnement;19256;ONIE LE GENIE ASSOC;2500.0
Fonctionnement;24822;THEATRE TALHERS PRODUCTION ASSOC;4500.0
Fonctionnement;54919;TOULOUSE UNIVERSITE CLUB RUGBY ASSOC;26100.0
Fonctionnement;7837;CRSU COMITE REGIONAL SPORT UNIVERSITAIRE;10000.0
Fonctionnement;25639;LE TRAIT BLEU ASSOC;5400.0
Fonctionnement;2723;UNION SPORTIVE DE BAGATELLE ASSOC;22000.0
Fonctionnement;14303;JMF JEUNESSES MUSICALES FRANCE DELEGATION DE TOULOUSE ASSOC;5320.0
Fonctionnement;330;ADDICT ASSOC;3600.0
Fonctionnement;51578;AVENIR SANTE ASSOC;34200.0
Fonctionnement;1926;Y ARRIVAREM ASSOC;700.0
Fonctionnement;74849;4 LAW DE DENT;650.0
Fonctionnement;65455;RAIEMANTA COMPAGNIE ASSOC;2000.0
Fonctionnement;42542;L ETOILE DE BELFORT ASSOC;2000.0
Fonctionnement;25848;TV BRUITS ASSOC;2650.0
Fonctionnement;6246;SYNDICAT CGT FONCTION ACTIFS ET RETRAITES MAIRIE DE TOULOUSE;2776.95
Fonctionnement;35734;INSA TOULOUSE;4000.0
Fonctionnement;499;FESTIVAL INTERN CINEMA ET HISTOIRE ASSOC;78000.0
Fonctionnement;18007;MJC ROGUET MAISON JEUNES CULTURE ASSOC;42500.0
Fonctionnement;59736;LES P TITS LOUPS DE MONTBLANC ASSOC;258086.0
Fonctionnement;188;CRECHE ACCUEIL DU GRAND ROND;103355.2
Fonctionnement;20235;CRECHE LES PETITS GALOPINS ASSOC;93236.0
Fonctionnement;23051;SAVIM SERVICE AIDE AUX VICTIMES D INFORMATION DE MEDIATION ASSOC;234385.0
Fonctionnement;19865;PLANETE SCIENCES MIDI PYRENEES ASSOC;33500.0
Fonctionnement;6722;CIMADE DE TOULOUSE GROUPE LOCAL;24300.0
Fonctionnement;23917;SOCRATE ASSOC;9000.0
Fonctionnement;25399;TOAC TOULOUSE OLYMPIQUE AEROSPATIALE CLUB ASSOC;72490.0
Fonctionnement;52359;INCITU ASSOC;2500.0
Fonctionnement;24355;SPIRALE ASSOC;24680.2
Fonctionnement;14273;JEUNE ENTENTE TOULOUSAINE ASSOC;17400.0
Fonctionnement;18705;NATURE MIDI PYRENEES ASSOC;12000.0
Fonctionnement;19748;ECOLE DES PARENTS ET EDUCATEURS;27464.08
Fonctionnement;845;ALCHIMIE DU JEU ASSOC;18000.0
Investissement;51335;LOFT ONE;4172.0
Fonctionnement;19092;RADIO OCCITANIA ASSOC;4000.0
Fonctionnement;25764;TUC TRIATHLON ASSOC;7700.0
Fonctionnement;52011;INATTENDUE S ASSOC;1000.0
Fonctionnement;14723;KLAKSON ASSOC;7500.0
Fonctionnement;74815;HISTOIRE DE L ORDRE DE SAINT DOMINIQUE EN FRANCE ET EUROPE ASSOC;6000.0
Fonctionnement;7214;COMPAGNIE MONSIEUR MADAME;1500.0
