nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBeneficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;pourcentageSubvention
Ville de Toulouse;21310555400017;;;NOS AUTRES ASSOC;49063274200048;Subvention de Fonctionnement;16588.0;aide en numéraire;échelonné;2017-06-13;;non;1
Ville de Toulouse;21310555400017;;;NOS QUARTIERS ONT DES TALENTS;49233068300037;Subvention de Fonctionnement;3000.0;aide en numéraire;unique;2017-11-21;;non;1
Ville de Toulouse;21310555400017;;;OCTOPUS;35408547400030;Subvention de Fonctionnement;54709.0;aide en numéraire;échelonné;2017-05-04;;non;1
Ville de Toulouse;21310555400017;;;ON OFF MANIFESTO ASSOC;45287350800017;Subvention de Fonctionnement;18662.0;aide en numéraire;échelonné;2017-07-24;;non;1
Ville de Toulouse;21310555400017;;;OPEP ORGANISATION POUR L EMPLOI PARTAGE ASSOC;48361793200031;Subvention de Fonctionnement;7373.0;aide en numéraire;unique;2017-06-19;;non;1
Ville de Toulouse;21310555400017;;;PACE  PHOTOGRAPHIE  CHATEAU EAU ASSOC;33859301500013;Subvention de Fonctionnement;431308.0;aide en numéraire;échelonné;2017-08-08;;non;1
Ville de Toulouse;21310555400017;;;PAROLE EXPRESSION;40319734600022;Subvention de Fonctionnement;26205.0;aide en numéraire;échelonné;2017-04-18;;non;1
Ville de Toulouse;21310555400017;;;PARTAGER L ANIMATION REVER L EDUCATION PAR JEU;79338580800035;Subvention de Fonctionnement;857903.76;aide en numéraire;échelonné;2017-12-31;;non;1
Ville de Toulouse;21310555400017;;;PLAN 9 ASSOC;49404416700026;Subvention d'équipement;2500.0;aide en numéraire;unique;2017-12-06;;non;1
Ville de Toulouse;21310555400017;;;PLANETE SCIENCES OCCITANIE;39507200200045;Subvention de Fonctionnement;28920.0;aide en numéraire;échelonné;2017-06-01;;non;1
Ville de Toulouse;21310555400017;;;POUR UN SOURIRE D ENFANT;39404412700030;Subvention de Fonctionnement;6000.0;aide en numéraire;unique;2017-07-06;;non;1
Ville de Toulouse;21310555400017;;;PROCESS ASSOC;50100908800037;Subvention de Fonctionnement;2000.0;aide en numéraire;unique;2017-04-20;;non;1
Ville de Toulouse;21310555400017;;;PROTECTION ENFANCE ET ADOLESCENCE ASSOC;77558112700047;Subvention de Fonctionnement;6455.0;aide en numéraire;unique;2017-07-11;;non;1
Ville de Toulouse;21310555400017;;;PSYCHOLOGUES DU MONDE TOULOUSE MIDI PYRENEES;51044044900013;Subvention de Fonctionnement;6000.0;aide en numéraire;unique;2017-05-02;;non;1
Ville de Toulouse;21310555400017;;;RDB RA DIT BLEU PRODUCTIONS;47949746300055;Subvention de Fonctionnement;2560.0;aide en numéraire;unique;2017-09-29;;non;1
Ville de Toulouse;21310555400017;;;RECYCLO BAT;79892821400039;Subvention de Fonctionnement;2800.0;aide en numéraire;unique;2017-12-18;;non;1
Ville de Toulouse;21310555400017;;;REYNERIE MIROIR ASSOC;79896218900014;Subvention de Fonctionnement;1500.0;aide en numéraire;unique;2017-05-12;;non;1
Ville de Toulouse;21310555400017;;;SEQUENCE ASSOC;39251050900061;Subvention de Fonctionnement;9700.0;aide en numéraire;échelonné;2017-10-10;;non;1
Ville de Toulouse;21310555400017;;;SESAME AUTISME MIDI PYRENEES ASSOC;50912751000022;Subvention de Fonctionnement;1296.0;aide en numéraire;unique;2017-10-27;;non;1
Ville de Toulouse;21310555400017;;;SKI CLUB DE LA PENICHE ASSOC;33476627600011;Subvention de Fonctionnement;1480.0;aide en numéraire;unique;2017-03-27;;non;1
Ville de Toulouse;21310555400017;;;SOCIETE D HISTOIRE NATURELLE DE TOULOUSE;41139568400029;Subvention de Fonctionnement;2000.0;aide en numéraire;unique;2017-08-03;;non;1
Ville de Toulouse;21310555400017;;;SOCIO EDUCATIVE DES QUARTIERS NORD ASSOC;78807327800046;Subvention de Fonctionnement;29000.0;aide en numéraire;unique;2017-07-24;;non;1
