Section liquidation;Code tiers bénéficiaire;Nom bénéficiaire;N° SIRET;Type bénéficiaire;Montant versé en 2016
Fonctionnement;14325;JOE J OUVRE L OEIL ASSOC;44198605600022;Personne morale de droit privé;3000.0
Fonctionnement;14440;FONDS SOCIAL JUIF UNIFIE ASSOC;77567220700161;Personne morale de droit privé;8500.0
Fonctionnement;14447;LES AMIES DE LA MATERNELLE JULES JULIEN ASSOC;39239338500019;Personne morale de droit privé;49826.17
Fonctionnement;14569;KARAVAN;44066241900017;Personne morale de droit privé;20700.0
Fonctionnement;14608;K DANSE;32694316400029;Personne morale de droit privé;24280.0
Fonctionnement;14713;KIRIKOU EVENEMENT;44898700800019;Personne morale de droit privé;9240.0
Fonctionnement;15127;LIGUE DE L ENSEIGNEMENT 31;77695091700034;Personne morale de droit privé;14500.0
Fonctionnement;15146;CRECHE LALANDOUNETTE HALTE GARDERIE;38853765600018;Personne morale de droit privé;55569.55
Fonctionnement;16057;LIGUE SPORT ADAPTE OCCITANIE;34534147300022;Personne morale de droit privé;600.0
Fonctionnement;16159;LE LOCAL ASSOC;51255480900016;Personne morale de droit privé;3450.0
Fonctionnement;16219;CITE LOISIRS;41479836300027;Personne morale de droit privé;277386.66
Fonctionnement;16413;LUDI MONDE ASSOC;52057858400028;Personne morale de droit privé;800.0
Fonctionnement;16507;LOISIRS ENFANTS JEAN MACE ASSOC;32906184000016;Personne morale de droit privé;344769.11
Fonctionnement;17673;CIE MESSIEURS MESDAMES;37918582000030;Personne morale de droit privé;9600.0
Fonctionnement;17810;MIDIFILM ASSOC;52986362300011;Personne morale de droit privé;4500.0
Fonctionnement;18006;MJC PONT DES DEMOISELLES ASSOC;77695191500011;Personne morale de droit privé;82380.0
Fonctionnement;18008;MJC PREVERT ASSOC;31737317300044;Personne morale de droit privé;158650.0
Fonctionnement;18485;TOULOUSE MULTI BOXE ASSOC;43900252800024;Personne morale de droit privé;10000.0
Fonctionnement;18554;EOLE COLLECTIF DE MUSIQUE ACTIVE;41855588400026;Personne morale de droit privé;31910.0
Fonctionnement;18567;LES MUSICOPHAGES ASSOC;40378616300036;Personne morale de droit privé;24000.0
Fonctionnement;19087;CENTRE OCCITAN MUSIQUES DANSES TRADITIONNELLES TOULOUSE ASSOC;77695209500029;Personne morale de droit privé;215600.0
Fonctionnement;19380;ORSMP OBSERVATOIRE REG SANTE MIDI PYRENEES;32924364600026;Personne morale de droit public;11600.0
