nomBeneficiaire;type;code;structure
NATIONALE LE REFUGE ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
SIGFOX SA;Ingénierie, études techniques;7112B;SA à conseil d'administration
NC NUMERICABLE SASU;Télécommunications filaires;6110Z;SASU Société par actions simplifiée à associé unique
ROSALIE ECHANGE SOLDARITE ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
CITES UNIES FRANCE ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
RA PARI;;;
CJD TOULOUSE ASSOC;Activités des organisations professionnelles;9412Z;Association déclarée
CONSEIL CITOYEN REYNERIE MIRAIL ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
MEDECINS DU MONDE;Action sociale sans hébergement n.c.a.;8899B;Association déclarée
FEDERATION FRANCAISE D ATHLETISME ASSOC;Activités de clubs de sports;9312Z;Association déclarée
ECOLE NAT SUP ARCHITECTURE MARNE VALLEE;Enseignement supérieur;8542Z;Etablissement public national d'enseignement
LES CYCLES HEUREUX ASSO;Action sociale sans hébergement n.c.a.;8899B;Association déclarée
SOLAFRIKA;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
CENTRE DE CRISE ET DE SOUTIEN;Affaires étrangères;8421Z;Administration de l'Etat, service central d'un ministère
AQUIFLOR;Commerce de gros (commerce interentreprises) de fleurs et plantes;4622Z;SA à conseil d'administration
COMPAGNIE ANNE MA SOEUR ANNE;Arts du spectacle vivant;9001Z;Association déclarée
CONSEIL CITOYEN DES BARRADELS;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
FEDERATION DES ENTREPRISES D INSERTION LANGUEDOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
FEDERATION NATIONALE DES ASSOCIATIONS D ACCUEIL - FNARS;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
PARTICIP ACTION;Recherche-développement en sciences humaines et sociales;7220Z;Association déclarée
FONDATION PARTENARIALE I2ML;;;
EPIDE;;;
ASSOCIATION GENERALE DES PRODUCTEURS DE MAIS;Activités des organisations patronales et consulaires;9411Z;Association déclarée
DIRE;;;
SOLIDARITES INTERNATIONAL;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
WWF FRANCE;Autres organisations fonctionnant par adhésion volontaire;9499Z;Fondation
AGENCE DEVELOPPEMENT COMMUNAL VILLE ST LOUIS;;;
APOIRC ASSOC;Arts du spectacle vivant;9001Z;Association déclarée
CANALART;Arts du spectacle vivant;9001Z;Association déclarée
ENTREPRISE JEAN LATOUR SAS;Travaux de peinture et vitrerie;4334Z;Société par actions simplifiée
RESIDENCES SOCIALES DE FRANCE 3F;Location de terrains et d'autres biens immobiliers;6820B;SA de HLM à conseil d'administration
FONDATION ETUDIANTE POUR LA VILLE;;;
EXTRA;Ingénierie, études techniques;7112B;
HAMAP;Autres organisations fonctionnant par adhésion volontaire;9499Z;Association déclarée
