nomBeneficiaire,type
SCIENCE ANIMATION,Activités de soutien au spectacle vivant
VIA BRACHY,Autres organisations fonctionnant par adhésion volontaire
SFHE,Location de logements
SYNDICAT UECT UNSA UNION EMPLOYE,Activités des syndicats de salariés
SYNDICAT SUD CUTM,Activités des syndicats de salariés
CRESS CHAMBRE REG ECONOMIE SOCIALE ET SOLIDAIRE ASSOC,Autres organisations fonctionnant par adhésion volontaire
INITIATIVES POUR UNE ECONOMIE SOLIDAIRE - IES - SCIC,Activités des sociétés holding
FRANCE NATURE ENVIRONNEMENT MIDI-PYRENEES,Autres organisations fonctionnant par adhésion volontaire
EUROPEENNE DU FILM D ANIMATION CARTOON,"Organisation de foires, salons professionnels et congrès"
LA CITE DES JARDINS HLM SA,Location de logements
ET QUI LIBRE MARIONNETTISSIMO,Arts du spectacle vivant
LA GRAINERIE ASSOC,Arts du spectacle vivant
LA GLANERIE ASSOC,Autres organisations fonctionnant par adhésion volontaire
COMMUNE DE FONBEAUZARD,Administration publique générale
IMO LLEIDA,Activités des marchands de biens immobiliers
ANAH AGENCE NATIONALE DE L HABITAT,Administration publique (tutelle) des activités économiques
3F OCCITANIE SA,Location de logements
ADEPES,Autres organisations fonctionnant par adhésion volontaire
FFPE FEDERATION DES FEMMES POUR L EUROPE,Autres organisations fonctionnant par adhésion volontaire
COMITE BASSIN  EMPLOI NORD HAUTE GARONNE,Autres organisations fonctionnant par adhésion volontaire
DES ETOILES ET DES AILES ASSOC,Autres organisations fonctionnant par adhésion volontaire
ECOLE REGIONALE 2EME CHANCE ASSOC,Formation continue d'adultes
COMPAGNIE NELSON DUMONT,Arts du spectacle vivant
COMPETENCES PLUS ASSOC,Autre mise à disposition de ressources humaines
EUROSUD TRANSPORT,Transports routiers de marchandises interurbains
CA SICOVAL,Administration publique générale 
DOMICIMM SARL,Agences immobilières
DO RE MI FA SPORTS,Débits de boissons
LES PETITS DEBROUILLARDS MIDI PY ASSOC,Autres activités récréatives et de loisirs
PREFIG CONFLUENCE GARONNE ARIEGE ASSOC,Autres organisations fonctionnant par adhésion volontaire
NOUVEAU LOGIS MERIDIONAL HLM SA,Location de logements
GRAINE MIDI PYRENEES ASSOC,Autres organisations fonctionnant par adhésion volontaire
MUTUELLE INTERIALE,Activités des agents et courtiers d'assurances
NUMERICABLE SAS,Télécommunications filaires
L USINE,Arts du spectacle vivant
ONCOMIP ASSOC,NA
JENI ASSOC,NA
OPPIDEA SEM,Construction d'autres ouvrages de génie civil n.c.a.
SYNDICAT NATIONAL DIRECTEURS GENERAUX COLLECT TERRITORIALES,Activités des syndicats de salariés
PROTECTION ENFANCE ET ADOLESCENCE ASSOC,Action sociale sans hébergement n.c.a.
THEATRE ET ORCHESTRE DU CAPITOLE,Gestion de salles de spectacles
UNIVERSITE TOULOUSE II JEAN JAURES,Enseignement supérieur
PROMOSALONS SALON SIANE,Commerce de détail de meubles
SEM SO TOULOUSE,Administration publique (tutelle) des activités économiques
SYNDICAT CGT ORGANISA CUTM,Activités des syndicats de salariés
SYNDICAT COPRO LES TOURNESOLS,Activités combinées de soutien lié aux bâtiments
AGENCE DE DEV ECONOMIQUE TOULOUSE METROPOLE - INVEST IN TLSE ASSOC,Autres organisations fonctionnant par adhésion volontaire
ACCUEIL ET FAMILLE PLACEMENT FAMILIAL ASSOC,Hébergement social pour enfants en difficultés
AGIT GROUPE INTERVENTIONS THEATRALES ASSOC,Arts du spectacle vivant
AGRI SUD OUEST INNOVATION SA,Autres organisations fonctionnant par adhésion volontaire
CANCER BIO SANTE ASSOC,Autres organisations fonctionnant par adhésion volontaire
ATMO OCCITANIE,"Analyses, essais et inspections techniques"
AEROSPACE VALLEY,Autres organisations fonctionnant par adhésion volontaire
ACOUCITE ASSOC,NA
A CROQUER,Autres organisations fonctionnant par adhésion volontaire
ASS DEV EPREUV EDUCAT ECO-MOBILITE ASSOC,Autres organisations fonctionnant par adhésion volontaire
CLAP MIDI PYRENEES - CRLAPP,Autres organisations fonctionnant par adhésion volontaire
DEPART PROTECTION CIVILE DE LA HAUTE GARONNE  ASSOC,Action sociale sans hébergement n.c.a.
ETRE MOBILE C EST PERMIS,Autres organisations fonctionnant par adhésion volontaire
FACE GRAND TOULOUSE  ASSOC,Autres organisations fonctionnant par adhésion volontaire
GENERATIONS CANDIE ASSOC,NA
LA MENAGERIE ASSOC,Production de films pour le cinéma
PLANETE SCIENCES OCCITANIE,Autres organisations fonctionnant par adhésion volontair
SEM ALTIGONE,Activités des sièges sociaux
SNCF,Transport ferroviaire interurbain de voyageurs 
TISSEO COLLECTIVITES SMTC AGGLOMERATION TOULOUSAINE,Administration publique (tutelle) des activités économiques
TRAVAIL DIFFERENT ASSOC,Formation continue d'adultes
PRISM POUR LA RECHERCHE ET INFO SOCIALE ET MEDICALE ASSOC,Études de marché et sondages
REFLET 31,Action sociale sans hébergement n.c.a.
DEPARTEMENT DE LA HAUTE-GARONNE PRINCIPAL,Administration publique générale
ECOLE ARCHITECTURE DE TOULOUSE,Enseignement supérieur
ECOLE DE CIRQUE PEP S,Autres organisations fonctionnant par adhésion volontaire
CORPS ET ARTS,Arts du spectacle vivant
AVANTI POPOLO ASSOC,Autres organisations fonctionnant par adhésion volontaire
BE  BLIBOP ASSOC,Arts du spectacle vivant
OPH 31 OFFICE PUBLIC DE L HABITAT HAUTE GARONNE,Location de logements
INRA INSTITUT NATIONAL RECHERCHE AGRONOMIQUE,Recherche-développement en autres sciences physiques et naturelles
INSTITUT AERO FORMATIONS,Formation continue d'adultes
HOLEO DEVELOPPEMENT,Formation continue d'adultes 
IDEES INTERIM,Activités des agences de travail temporaire
AIMP ASS INGENIERIE MIDI PYRENEES ASSOC,Autres organisations fonctionnant par adhésion volontaire
AAAF GROUPE REGIONAL DE TLSE,Formation continue d'adultes
2 BOUTS ASSOC,NA
ACDENT GROUPE DE THEATRE EUROPEEN,NA
AMICALE DU NID ASSOC,Action sociale sans hébergement n.c.a.
ARCHIVES SOLUTIONS SARL,Services administratifs combinés de bureau
ARTILECT ASSOC,Autres organisations fonctionnant par adhésion volontaire
CIRQUE DE FEMMES EN TOUT GENRE ASSOC,Autres organisations fonctionnant par adhésion volontaire
FEDERATION FRANCAISE MOTARDS EN COLERE 31 ASSOC,Autres organisations fonctionnant par adhésion volontaire
IEP INSTITUT  ETUDES POLITIQUES 31,Enseignement supérieur
INSTITUT FORMATION SLOW FOOD,Autres organisations fonctionnant par adhésion volontaire
ISDAT INSTITUT SUP DES ARTS DE TOULOUSE,Enseignement supérieur
MIPY GREEN ASSOC,Autres organisations fonctionnant par adhésion volontaire
RESEAU SEMENCES PAYSANNES ASSOC,Autres organisations fonctionnant par adhésion volontaire
SOLIHA HAUTE GARONNE,Action sociale sans hébergement n.c.a.
UIMM MIDI-PYRENEES,Activités des organisations patronales et consulaires
AMENE MOI UN MOUTON ASSOC,Autres organisations fonctionnant par adhésion volontaire
BLEUE COMME UNE ORANGE ASSOC,Autres organisations fonctionnant par adhésion volontaire
CEPIERE FORMATION ASSOC,Autres organisations fonctionnant par adhésion volontaire
CITES DU SECOURS CATHOLIQUE EX ASSO CITE LA MADELAINE ASSOC,Accueil de jeunes enfants
COMMUNE DE BLAGNAC,Administration publique générale
CRP CENTRE REGIONAL DE PRODUCTIVITE ASSOC,Formation continue d'adultes
INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE,Enseignement supérieur
PAROLE EXPRESSION,Formation continue d'adultes
UNION SOCIALE POUR L HABITAT MIDI PYRENEES ASSOC,Autres organisations fonctionnant par adhésion volontaire
VERUNI ASSOC,Autres organisations fonctionnant par adhésion volontaire
AMF 31 ASSOCIATION DES MAIRES DE LA HAUTE GARONNE ASSOC,Autres organisations fonctionnant par adhésion volontaire
ATOUT BOUT CHAMP ASSOC,Autres organisations fonctionnant par adhésion volontaire
CEA DE GRENOBLE DRT VALO CELISE,NA
EGALITERE,Formation continue d'adultes
HORIZONS CROISES,Arts du spectacle vivant
LES IMAGINATIONS FERTILES SCIC,Autres activités de soutien aux entreprises n.c.a.
MAISON  EUROPE ASSOC,Autres organisations fonctionnant par adhésion volontaire
NATURE MIDI PYRENEES ASSOC,Autres organisations fonctionnant par adhésion volontaire
