Bénéficiaire;Nature subventions;Montant 2014 
TOULOUSE METROPOLE EMPLOI;Fonctionnement;298000.0
CENTRE REGIONAL DE PRODUCTIVITE;Fonctionnement;7500.0
IES DEVELOPPEMENT;Fonctionnement;18000.0
LA SERRE;Fonctionnement;15000.0
AEROSPACE VALLEY;Fonctionnement;100000.0
SAVIM SERVICE AIDE AUX VICTIMES D INFORMATION   DE MEDIATION;Fonctionnement;61346.0
COORACE MIDI PYRENEES;Fonctionnement;9000.0
ECOLE REGIONALE 2EME CHANCE;Fonctionnement;100000.0
AMICALE DU NID;Fonctionnement;4200.0
POLE EMPLOI MIDI PYRENEES;Fonctionnement;301657.91
COMITE BASSIN  EMPLOI NORD HAUTE GARONE;Fonctionnement;6300.0
PAROLE EXPRESSION;Fonctionnement;3872.2
CLUB DES CONSEILS SYNDICAUX DE LA HAUTE GARONNE;Fonctionnement;1000.0
COMMUNE DE TOULOUSE;Fonctionnement;6250.0
PREFIG CONFLUENCE GARONNE ARIEGE;Fonctionnement;12500.0
AMENE MOI UN MOUTON;Fonctionnement;2100.0
LA MAISON DE L INITIATIVE SCOP;Fonctionnement;3634.35
POLE DE COMPETITIVITE EQUESTRE DE LA METROPOLE TOULOUSAINE;Fonctionnement;9650.0
RESEAU COCAGNE;Fonctionnement;25000.0
RESEAU SEMENCES PAYSANNES;Fonctionnement;3250.0
APUMP;Fonctionnement;30000.0
FEDERATION DES MOTARDS EN COLERE DE LA HAUTE GARONNE;Fonctionnement;1870.0
LA MAISON DU VELO;Fonctionnement;245000.0
ACCENT;Fonctionnement;60000.0
COMPAGNIE NELSON DUMONT;Fonctionnement;40000.0
DELL ARTE;Fonctionnement;20000.0
L'USINE;Fonctionnement;157790.0
LES VIDEOPHAGES;Fonctionnement;6000.0
COMMUNE DE TOULOUSE;Fonctionnement;14000.0
COMPAGNIE DES HORIZONS CROISES;Fonctionnement;15000.0
L USINE;Fonctionnement;19200.0
MIX ART MYRYS;Fonctionnement;10700.0
SYNDICAT SUD CUGT;Fonctionnement;1120.0
SYNDICAT UECT UNSA UNION EMPLOYE;Fonctionnement;1393.0
